video_id,title,published_at,view_count,like_count,comment_count,tags,category_id,duration
jtxEbR6_dAE,KALLAMAR FULL BOSS FIGHT - Cult Of The Lamb Full Release!,2022-09-01,13323,1619,54,"sinvicta,sinvicta isaac,cult of the lamb,Cult Of The Lamb,Sinvicta Cult,Devolver Digital,Massive Monster,cult of the lamb gameplay,cult of the lamb first impressions,cult of the lamb beginners guide,cult of the lamb tutorial,cult of the lamb new release,cult of the lamb playthrough,cult of the lamb walkthrough,cult of the lamb twitch,cult of the lamb twitch integration,cult of the lamb get more followers,KALLAMAR FULL BOSS FIGHT - Cult Of The Lamb Full Release!",20,PT59M7S
AzBYApV-iV4,A FEAST OF BEAMS! -  The Binding Of Isaac: Repentance #482,2022-09-01,54589,4297,144,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,A FEAST OF BEAMS! - The Binding Of Isaac: Repentance #482,sinvicta,sinvicta isaac",20,PT58M41S
OnJE_4jBbr0,TAINTED GOLEM IS INCREDIBLE -  The Binding Of Isaac: FIEND FOLIO,2022-08-31,70924,4954,230,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,TAINTED GOLEM IS INCREDIBLE - The Binding Of Isaac: FIEND FOLIO,sinvicta,sinvicta isaac",20,PT52M12S
T6Au3ntGhPg,SPINDOWN TO WIN -  The Binding Of Isaac: Repentance #480,2022-08-30,48214,3648,199,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,SPINDOWN TO WIN - The Binding Of Isaac: Repentance #480,sinvicta,sinvicta isaac",20,PT53M48S
vVB0gvUKvfk,This is why I LOVE Isaac -  The Binding Of Isaac: Repentance #479,2022-08-29,80193,5016,271,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,This is why I LOVE Isaac - The Binding Of Isaac: Repentance #479,sinvicta,sinvicta isaac",20,PT59M20S
5IST-e1rztk,FIEND FOR THE FANS -  The Binding Of Isaac: FIEND FOLIO,2022-08-28,54414,5053,117,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,sinvicta,sinvicta isaac,FIEND FOR THE FANS - The Binding Of Isaac: FIEND FOLIO",20,PT48M29S
iSWzpnIhqvA,THE BEST CHARACTER IN ISAAC?? -  The Binding Of Isaac: FIEND FOLIO,2022-08-27,104487,8342,260,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,THE BEST CHARACTER IN ISAAC?? - The Binding Of Isaac: FIEND FOLIO,sinvicta,sinvicta isaac",20,PT1H3M38S
X8lk0JXYJ8M,THE HARVEST - Cult Of The Lamb Full Release!,2022-08-26,14326,1654,51,"sinvicta,sinvicta isaac,cult of the lamb,Cult Of The Lamb,Sinvicta Cult,Devolver Digital,Massive Monster,cult of the lamb gameplay,cult of the lamb first impressions,cult of the lamb beginners guide,cult of the lamb tutorial,cult of the lamb new release,cult of the lamb playthrough,cult of the lamb walkthrough,cult of the lamb twitch,cult of the lamb twitch integration,cult of the lamb get more followers,cult of the lamb how to make gold",20,PT1H1M24S
x8azr_kiwZI,FIEND FOLIO IS BACK! -  The Binding Of Isaac: Repentance,2022-08-26,79810,8328,221,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,FIEND FOLIO IS BACK - The Binding Of Isaac: Repentance,sinvicta,sinvicta isaac",20,PT1H11M6S
cJrfiJpo3Yk,Is ALABASTER BOX Ever Worth Taking?-  The Binding Of Isaac: Repentance #478,2022-08-25,40060,3790,120,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,Is ALABASTER BOX Ever Worth Taking?- The Binding Of Isaac: Repentance #478,sinvicta,sinvicta isaac",20,PT37M14S
UFpkUuGg7pI,BIG UPDRADES! - Cult Of The Lamb Full Release!,2022-08-24,15922,1959,56,"sinvicta,sinvicta isaac,cult of the lamb,Cult Of The Lamb,Sinvicta Cult,Devolver Digital,Massive Monster,cult of the lamb gameplay,cult of the lamb first impressions,cult of the lamb beginners guide,cult of the lamb tutorial,cult of the lamb new release,cult of the lamb playthrough,cult of the lamb walkthrough,cult of the lamb twitch,cult of the lamb twitch integration,cult of the lamb get more followers,cult of the lamb how to make gold",20,PT59M31S
1PeZrOvsF3o,NOTHING IS SAFE -  The Binding Of Isaac: Repentance #477,2022-08-24,62567,4248,153,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,NOTHING IS SAFE - The Binding Of Isaac: Repentance #477,sinvicta,sinvicta isaac",20,PT56M57S
AZ4nQh7A6zc,WEB CANNON BUILD! -  The Binding Of Isaac: Repentance #476,2022-08-23,113755,5355,147,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,WEB CANNON BUILD! - The Binding Of Isaac: Repentance #476,sinvicta,sinvicta isaac",20,PT1H16M20S
dn__wgE_E8g,ELECTRIC SECTION -  The Binding Of Isaac: Repentance #475,2022-08-22,68076,5246,162,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,ELECTRIC SECTION - The Binding Of Isaac: Repentance #475,sinvicta,sinvicta isaac",20,PT1H3M47S
fae-R2eCiIs,BRAINWASHED! - Cult Of The Lamb Full Release!,2022-08-21,17241,1835,50,"sinvicta,sinvicta isaac,cult of the lamb,Cult Of The Lamb,Sinvicta Cult,Devolver Digital,Massive Monster,cult of the lamb gameplay,cult of the lamb first impressions,cult of the lamb beginners guide,cult of the lamb tutorial,cult of the lamb new release,cult of the lamb playthrough,cult of the lamb walkthrough,cult of the lamb twitch,cult of the lamb twitch integration,cult of the lamb get more followers,cult of the lamb how to make gold",20,PT47M30S
VG_cnXOkaxU,TAINTED RANDOM RUNDAY Ep. 31! - The Binding Of Isaac: Repentance,2022-08-21,36444,3636,114,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,the binding of isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,TAINTED RANDOM RUNDAY Ep. 31! - The Binding Of Isaac: Repentance",20,PT33M42S
GBavHt-B2HM,HOW MUCH MORE BROKEN CAN THIS GAME GET?! -  The Binding Of Isaac: Repentance #474,2022-08-20,352204,13194,266,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,HOW MUCH MORE BROKEN CAN THIS GAME GET?! - The Binding Of Isaac: Repentance #474,sinvicta,sinvicta isaac",20,PT1H48M54S
U2Ik8C0S4gw,INTO THE DEEP - Cult Of The Lamb Full Release!,2022-08-19,15237,1948,48,"sinvicta,sinvicta isaac,cult of the lamb,Cult Of The Lamb,Sinvicta Cult,Devolver Digital,Massive Monster,cult of the lamb gameplay,cult of the lamb first impressions,cult of the lamb beginners guide,cult of the lamb tutorial,cult of the lamb new release,cult of the lamb playthrough,cult of the lamb walkthrough,cult of the lamb twitch,cult of the lamb twitch integration,cult of the lamb get more followers,cult of the lamb how to make gold",20,PT50M4S
HARetnYv-gU,One of the COOLEST synergies ever! -  The Binding Of Isaac: Repentance #473,2022-08-19,55924,5270,131,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,One of the COOLEST synergies ever! - The Binding Of Isaac: Repentance #473,sinvicta,sinvicta isaac",20,PT45M46S
KZ0iL61pXKA,HEKET - Cult Of The Lamb Full Release!,2022-08-18,21213,2219,56,"sinvicta,sinvicta isaac,cult of the lamb,Cult Of The Lamb,Sinvicta Cult,Devolver Digital,Massive Monster,cult of the lamb gameplay,cult of the lamb first impressions,cult of the lamb beginners guide,cult of the lamb tutorial,cult of the lamb new release,cult of the lamb playthrough,cult of the lamb walkthrough,cult of the lamb twitch,cult of the lamb twitch integration,cult of the lamb get more followers,cult of the lamb how to make gold",20,PT1H11M37S
WM3QRpynwBg,Is THIS COMBO TOO DANGEROUS to be good? -  The Binding Of Isaac: Repentance #472,2022-08-18,59242,5449,162,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,Is THIS COMBO TOO DANGEROUS to be good? - The Binding Of Isaac: Repentance #472,sinvicta,sinvicta isaac",20,PT35M18S
